GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sokoban,default,Launcher,6,0,0,0,3,0,2,0,2,0
sokoban,view,View,233,0,18,0,29,0,13,0,4,0
sokoban,controller,Controller,178,0,12,0,36,0,13,0,7,0
sokoban,model,Model.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
sokoban,model,Model.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
sokoban,model,Model.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
sokoban,model,Level,236,959,52,40,5,47,42,30,11,15
sokoban,model,Model,291,203,35,9,46,44,28,16,10,12
sokoban,model,Save,53,78,9,11,2,11,10,12,3,9
sokoban,model,Position,72,68,10,6,1,12,11,8,6,5
